category,product
Frutas & Legumes,Ananás
Frutas & Legumes,Alperce
Frutas & Legumes,Mandioquinha
Frutas & Legumes,Alcachofras
Frutas & Legumes,Beringela
Frutas & Legumes,Abacate
Frutas & Legumes,Bananas
Frutas & Legumes,Manjericão
Frutas & Legumes,Frutos silvestres
Frutas & Legumes,Peras
Frutas & Legumes,Couve-flor
Frutas & Legumes,Brócolos
Frutas & Legumes,Amoras
Frutas & Legumes,Tomate cereja
Frutas & Legumes,Tâmaras
Frutas & Legumes,Ervilhas
Frutas & Legumes,Morangos
Frutas & Legumes,Figos
Frutas & Legumes,Funcho
Frutas & Legumes,Frutas
Frutas & Legumes,Cebolinho
Frutas & Legumes,Legumes
Frutas & Legumes,Toranja
Frutas & Legumes,Pepino
Frutas & Legumes,Mirtilos
Frutas & Legumes,Framboesas
Frutas & Legumes,Gengibre
Frutas & Legumes,Cenouras
Frutas & Legumes,Batatas
Frutas & Legumes,Cerejas
Frutas & Legumes,Kiwi
Frutas & Legumes,Alho
Frutas & Legumes,Repolho
Frutas & Legumes,Coentro
Frutas & Legumes,Ervas
Frutas & Legumes,Abóbora
Frutas & Legumes,Alface
Frutas & Legumes,Alho-francês
Frutas & Legumes,Lima
Frutas & Legumes,Milho
Frutas & Legumes,Tangerina
Frutas & Legumes,Manga
Frutas & Legumes,Mandioca
Frutas & Legumes,Melão
Frutas & Legumes,Nectarina
Frutas & Legumes,Azeitonas
Frutas & Legumes,Laranja
Frutas & Legumes,Maracujá
Frutas & Legumes,Malaguetas
Frutas & Legumes,Pimento
Frutas & Legumes,Salsa
Frutas & Legumes,Hortelã
Frutas & Legumes,Pêssego
Frutas & Legumes,Ameixas
Frutas & Legumes,Cogumelos
Frutas & Legumes,Rabanete
Frutas & Legumes,Ruibarbo
Frutas & Legumes,Beterraba
Frutas & Legumes,Rúcula
Frutas & Legumes,Salada
Frutas & Legumes,Sálvia
Frutas & Legumes,Cebolinho francês
Frutas & Legumes,Aipo
Frutas & Legumes,Espargos
Frutas & Legumes,Espinafres
Frutas & Legumes,Tomilho
Frutas & Legumes,Tomates
Frutas & Legumes,Uvas
Frutas & Legumes,Melancia
Frutas & Legumes,Limão
Frutas & Legumes,Courgette
Frutas & Legumes,Cebolas
Frutas & Legumes,Maçãs
Padaria & Pastelaria,Bagels
Padaria & Pastelaria,Baguete
Padaria & Pastelaria,Massa folhada
Padaria & Pastelaria,Pão
Padaria & Pastelaria,Pão de forma
Padaria & Pastelaria,Pãezinhos
Padaria & Pastelaria,Donuts
Padaria & Pastelaria,Croissant
Padaria & Pastelaria,Muffins
Padaria & Pastelaria,Tarte
Padaria & Pastelaria,Massa de pizza
Padaria & Pastelaria,Papo-seco
Padaria & Pastelaria,Torrada
Padaria & Pastelaria,Tortilhas
Padaria & Pastelaria,Waffles
Lacticínios,Queijo azul
Lacticínios,Manteiga
Lacticínios,Queijo cheddar
Lacticínios,Ovos
Lacticínios,Queijo feta
Lacticínios,Queijo creme
Lacticínios,Gorgonzola
Lacticínios,Queijo cottage
Lacticínios,Iogurte
Lacticínios,Queijo
Lacticínios,Margarina
Lacticínios,Mascarpone
Lacticínios,Leite
Lacticínios,Mozzarella
Lacticínios,Queijo parmesão
Lacticínios,Queijo prato
Lacticínios,Natas
Lacticínios,Queijo ralado
Lacticínios,Leite de soja
Carne & Peixe,Frios
Carne & Peixe,Ostras
Carne & Peixe,Peixe
Carne & Peixe,Carne
Carne & Peixe,Camarões
Carne & Peixe,Carne picada
Carne & Peixe,Salsicha
Carne & Peixe,Lagosta
Carne & Peixe,Vitela
Carne & Peixe,Salmão
Carne & Peixe,Borrego
Carne & Peixe,Mexilhões
Carne & Peixe,Frango
Carne & Peixe,Carne de vaca
Carne & Peixe,Carne cortada
Carne & Peixe,Presunto cru
Carne & Peixe,Salame
Carne & Peixe,Anchovas
Carne & Peixe,Fiambre
Carne & Peixe,Carne de porco
Carne & Peixe,Bacon
Carne & Peixe,Bife
Carne & Peixe,Atum
Carne & Peixe,Peru
Carne & Peixe,Linguiça
Carne & Peixe,Enchidos
Ingredientes & Temperos,Compota de maçã
Ingredientes & Temperos,Molho barbecue
Ingredientes & Temperos,Fermento em pó
Ingredientes & Temperos,Vinagre balsâmico
Ingredientes & Temperos,Bicarbonato de sódio
Ingredientes & Temperos,Feijão
Ingredientes & Temperos,Caldo de carne
Ingredientes & Temperos,Molho de carne
Ingredientes & Temperos,Molho madeira
Ingredientes & Temperos,Manteiga de amendoim
Ingredientes & Temperos,Vinagre
Ingredientes & Temperos,Pickles
Ingredientes & Temperos,Farofa
Ingredientes & Temperos,Fubá
Ingredientes & Temperos,Avelãs
Ingredientes & Temperos,Fermento
Ingredientes & Temperos,Ketchup
Ingredientes & Temperos,Leite de coco
Ingredientes & Temperos,Lentilhas
Ingredientes & Temperos,Amêndoas
Ingredientes & Temperos,Farinha de mandioca
Ingredientes & Temperos,Maionese
Ingredientes & Temperos,Nozes
Ingredientes & Temperos,Azeite
Ingredientes & Temperos,Orégãos
Ingredientes & Temperos,Farinha de rosca
Ingredientes & Temperos,Páprica
Ingredientes & Temperos,Molho para massa
Ingredientes & Temperos,Tomate em conserva
Ingredientes & Temperos,Pimenta do reino
Ingredientes & Temperos,Pinhões
Ingredientes & Temperos,Açúcar em pó
Ingredientes & Temperos,Alecrim
Ingredientes & Temperos,Molho de salada
Ingredientes & Temperos,Sal
