original_product,original_category,catalog_product,catalog_category,confidence
CHOURICO CARNE FUNDAO CNT 220G,Charcutaria&Queijos,Chouriço,Carne & Peixe,Manual
LARANJA IGP ALGARVE CNT KG,Frutas e Legumes,Laranja,Frutas & Legumes,Manual
BAC POSTAS CNT 800G,Peixaria,Bacalhau,Carne & Peixe,Manual
F. CAMPO PEDACOS CNT SEL LS KG,Talho,Frango,Carne & Peixe,Manual
RESMA PAPEL A4 80GR/M  500F NOT,Cultura,Papel A4,Casa,Manual
OVOS SOLO CLASSE M 1DZ,Laticinios/Beb. Veg.,Ovos,Lacticínios,Manual
BATATA VERMELHA CNT EMB. 3KG,Frutas e Legumes,Batatas,Frutas & Legumes,Manual
SEMENTES CHIA 150G-PT-BIO-03,Frutas e Legumes,Chia,Frutas & Legumes,Manual
LUVAS VILEDA FOOD S.M/G 40,Limpeza do Lar,Luvas,Casa,Manual
DET LIQ SKIP CICLOS CURTOS EFIC,Limpeza do Lar,Detergente roupa,Casa,Manual
COND HIDR LEIT COC VEGAN 275ML,Beleza,Amaciador cabelo,Higiene & Saúde,Manual
CITRINOS ALGARV IGP CLEMENTINA,Frutas e Legumes,Clementina,Frutas & Legumes,Manual
MACARRAO GRANDE MILANEZA 500G,Bens Essenciais,Massa,Cereais,Manual
MIRTILO CNT (P) 200 G,Frutas e Legumes,Mirtilos,Frutas & Legumes,Manual
MASSA QUEBRADA CNT 2*230GR,Take Away,Massa quebrada,Cereais,Manual
MASSA FOLHADA CNT 230GR,Take Away,Massa folhada,Padaria & Pastelaria,Manual
CEREAIS CHOCOLATE CHOCAPIC 625G,Pequeno Almoco,Chocapic,Cereais,Manual
MACA GALA NACIONAL R0 CAL.70/75,Frutas e Legumes,Maçã royal gala,Frutas & Legumes,Manual
RUCULA SELVAGEM CNT EMB.100GR,Frutas e Legumes,Rúcula,Frutas & Legumes,Manual
ICE TEA LIPTON LIMAO 1.5L,Soft Drinks,Ice tea,Bebidas,Manual
PESSEGO CNT CAL,Frutas e Legumes,Pêssego,Frutas & Legumes,Manual
MELAO VERDE KG,Frutas e Legumes,Melão,Frutas & Legumes,Manual
GRESSINOS AZEITE CONTINENTE,Padaria,Pão,Padaria & Pastelaria,Manual
ESPARGOS FINOS 250G,Frutas e Legumes,Espargos,Frutas & Legumes,Manual
MOLHO BECHAMEL PARMALAT 500ML,Laticinios/Beb. Veg.,Molho bechamel,Lacticínios,Manual
PORCO CACHACO INT. S/OSSO LS,Talho,Carne de porco,Carne & Peixe,Manual
GELATINA CONDI VEGETAL MORANGO,Mercearia Doce,Gelatina,Snacks & Doces,Manual
MOINHO SAL MED.MARGAO 68G,Mercearia Salgada,Sal,Ingredientes & Temperos,Manual
CHAM HERBAL COCO HIDRATA 350ML,Beleza,Champô,Higiene & Saúde,Manual
